iter	RMSE
0	4.88480718
1	4.569810154
2	4.282424621
3	4.015277907
4	3.776309551
5	3.563256754
6	3.357473627
7	3.198253389
8	3.036023026
9	2.912293878
10	2.769719175
11	2.644195621
12	2.522527067
13	2.408327466
14	2.322004355
15	2.223000478
16	2.175200671
17	2.073525189
18	2.00548498
19	1.942595434
20	1.868183914
21	1.809148288
22	1.752894685
23	1.682165149
24	1.621418166
25	1.567669916
26	1.510353796
27	1.461583607
28	1.420069729
29	1.371969364
30	1.327949968
31	1.288443837
32	1.256568935
33	1.224382195
34	1.185330269
35	1.162536415
36	1.126507488
37	1.095297626
38	1.061115893
39	1.03454476
40	1.016806078
41	0.9982032503
42	0.9815752726
43	0.9611830933
44	0.9433589767
45	0.9192442087
46	0.9039529298
47	0.8884924303
48	0.8720709121
49	0.85983149
50	0.8411253078
51	0.8243889155
52	0.813284891
53	0.8003611669
54	0.7888369308
55	0.767450416
56	0.7558426028
57	0.7476950283
58	0.731743178
59	0.7212956645
60	0.7094594631
61	0.7019138543
62	0.6947609421
63	0.6877774096
64	0.6808094848
65	0.6732302635
66	0.6653447066
67	0.6494890642
68	0.6414207569
69	0.6361844708
70	0.6284827992
71	0.6196365539
72	0.6143858895
73	0.6103630607
74	0.6045176905
75	0.5929590762
76	0.5882331118
77	0.5822084327
78	0.5794579367
79	0.5759091503
80	0.5734451686
81	0.5694667684
82	0.5608151011
83	0.5533819869
84	0.5511765158
85	0.5484618598
86	0.5469734232
87	0.5458701269
88	0.5396035111
89	0.5377642167
90	0.5334578066
91	0.5318921562
92	0.5285545771
93	0.5257186277
94	0.5247947113
95	0.5180551507
96	0.5151739447
97	0.5145676171
98	0.5133887001
99	0.511016134
100	0.5064945569
101	0.5059745285
102	0.5001843347
103	0.4978591411
104	0.4973835874
105	0.493059722
106	0.4926255166
107	0.4876285746
108	0.4872086357
109	0.485758525
110	0.4827523452
111	0.4810546975
112	0.476795758
113	0.4735888175
114	0.4692507377
115	0.4688722283
116	0.4680696258
117	0.4663619448
118	0.4658133162
119	0.4654813936
120	0.4652271346
121	0.4623950702
122	0.4586623138
123	0.458360368
124	0.4572957311
125	0.4559999451
126	0.4546371698
127	0.4525497145
128	0.4517575805
129	0.4500411541
130	0.4484223111
131	0.4464620178
132	0.4440186632
133	0.4424536671
134	0.4409089171
135	0.4387102344
136	0.4371879084
137	0.4369611761
138	0.434276957
139	0.4287441947
140	0.4271022419
141	0.4263128258
142	0.4251859506
143	0.4234752211
144	0.4231580641
145	0.4219909786
146	0.4206373456
147	0.4181645924
148	0.4164575754
149	0.4162025406
150	0.415984447
151	0.4133134151
152	0.4118565329
153	0.4101150542
154	0.4087309409
155	0.4082060476
156	0.4080014613
157	0.4059712503
158	0.4057356849
159	0.4055286756
160	0.4024025816
161	0.4011329216
162	0.3990788928
163	0.3981880588
164	0.3979817259
165	0.3978043188
166	0.395072677
167	0.3939346516
168	0.3937633576
169	0.3935767422
170	0.3912815458
171	0.3905222704
172	0.3903540184
173	0.3891536534
174	0.3876692631
175	0.3855082924
176	0.3842141944
177	0.3829886599
178	0.3809723533
179	0.38082163
180	0.3800004964
181	0.3798428801
182	0.3797106565
183	0.3789983894
184	0.3779691831
185	0.3778242673
186	0.3776870481
187	0.3770243687
188	0.376849557
189	0.3751223788
190	0.3744457536
191	0.3740668109
192	0.3735976202
193	0.3728006825
194	0.3721980109
195	0.3713455172
196	0.3703782772
197	0.3681485121
198	0.3680184943
199	0.3673134844
200	0.3671905591
201	0.3662643186
202	0.3644289629
203	0.3643169706
204	0.3637406126
205	0.3633477863
206	0.3623950067
207	0.3621745553
208	0.3597545099
209	0.3595426462
210	0.3588421894
211	0.3584660872
212	0.3583697455
213	0.3578355833
214	0.3565744153
215	0.3551420671
216	0.3536889967
217	0.352825002
218	0.3527598349
219	0.3519410295
220	0.351426425
221	0.3511407274
222	0.3506066326
223	0.3499603058
224	0.3483041403
225	0.3481282067
226	0.3474683669
227	0.3458622571
228	0.3444922324
229	0.3424165838
230	0.3413290933
231	0.3401653664
232	0.3399455819
233	0.3394661087
234	0.3381967855
235	0.3377265863
236	0.3374590504
237	0.336310295
238	0.3357048239
239	0.3341155057
240	0.3331851467
241	0.3321194498
242	0.3320215423
243	0.3312974181
244	0.3305766379
245	0.329523756
246	0.3288670611
247	0.3280507981
248	0.3272183604
249	0.3257457561
250	0.3250040818
251	0.3240252183
252	0.3234607127
253	0.3223773411
254	0.3217560561
255	0.3216588612
256	0.3215187927
257	0.3212077672
258	0.3205696768
259	0.319678516
260	0.3194545079
261	0.3190288392
262	0.3180239646
263	0.3168875844
264	0.3166798487
265	0.3158034051
