iter	Passed	Remaining
0	104	52385
1	105	26326
2	106	17567
3	106	13177
4	106	10567
5	106	8809
6	107	7559
7	107	6618
8	107	5881
9	108	5301
10	108	4818
11	108	4418
12	108	4076
13	109	3786
14	109	3533
15	109	3312
16	109	3117
17	109	2944
18	110	2788
19	110	2650
20	110	2523
21	110	2407
22	111	2302
23	111	2205
24	111	2116
25	111	2033
26	111	1956
27	111	1885
28	112	1819
29	112	1759
30	112	1701
31	112	1648
32	112	1597
33	113	1550
34	113	1505
35	113	1462
36	113	1422
37	113	1384
38	114	1348
39	114	1313
40	114	1282
41	114	1251
42	115	1222
43	115	1194
44	115	1167
45	115	1142
46	116	1118
47	116	1094
48	116	1071
49	116	1050
50	116	1029
51	117	1010
52	117	990
53	117	971
54	117	954
55	118	937
56	118	920
57	118	904
58	119	889
59	119	874
60	119	860
61	119	845
62	119	831
63	120	817
64	120	804
65	120	792
66	120	779
67	120	768
68	121	756
69	121	745
70	121	734
71	121	723
72	121	712
73	122	702
74	122	692
75	122	683
76	122	673
77	122	664
78	123	655
79	123	647
80	123	639
81	123	630
82	123	622
83	124	614
84	124	607
85	124	599
86	124	592
87	124	585
88	125	578
89	125	571
90	125	564
91	125	558
92	126	551
93	126	546
94	126	539
95	126	534
96	127	527
97	127	522
98	127	516
99	127	511
100	128	506
101	128	501
102	128	495
103	128	490
104	129	485
105	129	480
106	129	475
107	129	470
108	129	465
109	130	460
110	130	456
111	130	451
112	130	447
113	130	443
114	131	438
115	131	434
116	131	430
117	131	426
118	131	421
119	131	417
120	132	413
121	132	410
122	132	406
123	132	402
124	132	398
125	133	395
126	133	391
127	133	387
128	133	384
129	133	380
130	133	377
131	134	374
132	134	370
133	134	367
134	134	364
135	134	360
136	135	357
137	135	354
138	135	351
139	135	348
140	135	345
141	136	343
142	136	340
143	136	337
144	136	334
145	136	331
146	136	328
147	137	326
148	137	323
149	137	320
150	137	318
151	137	315
152	138	313
153	138	310
154	138	308
155	138	305
156	138	303
157	138	300
158	139	298
159	139	296
160	139	294
161	139	292
162	140	289
163	140	287
164	140	285
165	140	283
166	141	281
167	141	279
168	141	277
169	141	275
170	142	273
171	142	271
172	142	269
173	142	267
174	142	265
175	143	263
176	143	261
177	143	259
178	143	257
179	143	255
180	143	253
181	144	251
182	144	250
183	144	248
184	144	246
185	144	244
186	145	242
187	145	241
188	145	239
189	145	237
190	145	235
191	146	234
192	146	232
193	146	230
194	146	229
195	146	227
196	147	226
197	147	224
198	147	222
199	147	221
200	147	219
201	148	218
202	148	216
203	148	215
204	148	213
205	148	212
206	148	210
207	149	209
208	149	207
209	149	206
210	149	205
211	149	203
212	150	202
213	150	200
214	150	199
215	150	198
216	150	196
217	151	195
218	151	194
219	151	192
220	151	191
221	151	190
222	152	188
223	152	187
224	152	186
225	152	185
226	153	184
227	153	182
228	153	181
229	153	180
230	154	179
231	154	178
232	154	177
233	154	175
234	154	174
235	155	173
236	155	172
237	155	171
238	155	170
239	156	169
240	156	167
241	156	166
242	156	165
243	156	164
244	156	163
245	157	162
246	157	161
247	157	160
248	157	158
249	157	157
250	158	156
251	158	155
